Donor,variable,total_donor_ha,iso3
Afghanistan,2005,0.702878092222355,AFG
Afghanistan,2009,0.146672350624811,AFG
Afghanistan,2010,1.10231567921744,AFG
Afghanistan,2011,0.00281174281142941,AFG
Afghanistan,2012,0.00168156370120389,AFG
Afghanistan,2013,0.0017879641808629,AFG
Albania,2005,0.590903073451354,ALB
Albania,2008,0.00267408138679892,ALB
Albania,2009,0.00344847858531042,ALB
Albania,2011,0.0039134225683703,ALB
Albania,2012,0.0519261535419993,ALB
Algeria,2001,0,DZA
Algeria,2002,7.73062757112108,DZA
Algeria,2003,4.62092438285434,DZA
Algeria,2005,15.5989916517035,DZA
Algeria,2007,0.00848779070938062,DZA
Algeria,2008,0.0068578196654251,DZA
Algeria,2009,0.0663898178753839,DZA
Algeria,2010,7.74531637402581,DZA
Algeria,2011,10.171272490505,DZA
Algeria,2013,1.28791946617247,DZA
Algeria,2014,0.00655753132306329,DZA
Algeria,2016,0.618811699503748,DZA
Algeria,2017,0.00893896792333972,DZA
Algeria,2018,0.00878005903213157,DZA
Algeria,2020,0,DZA
Algeria,2021,0.0232771811779357,DZA
Andorra,2002,0.162002414126978,AND
Andorra,2003,0.188584259958835,AND
Andorra,2004,0.0847795432245789,AND
Andorra,2005,0.25522527589926,AND
Andorra,2006,3.21184764580639,AND
Andorra,2007,0.154061690306325,AND
Andorra,2008,0.0729399769989257,AND
Andorra,2009,0.20974351549256,AND
Andorra,2010,0.272772866286864,AND
Andorra,2011,0.153381323100538,AND
Andorra,2012,0.0645713166464439,AND
Andorra,2013,0.104909664727134,AND
Andorra,2014,0.103531186528382,AND
Andorra,2015,0.0543487258213754,AND
Andorra,2016,0.0360696444063467,AND
Andorra,2017,0.0666735695026023,AND
Andorra,2018,0.0236508213318265,AND
Andorra,2019,0.0746817128478422,AND
Andorra,2020,0.052884,AND
Andorra,2021,0.0332797021381886,AND
Angola,2000,0,AGO
Angola,2011,1.23288030671969,AGO
Antigua and Barbuda,2006,0.00630301917908253,ATG
Antigua and Barbuda,2007,0.00607681750208925,ATG
Antigua and Barbuda,2008,0.00582317105083938,ATG
Antigua and Barbuda,2009,0.00571935405887429,ATG
Antigua and Barbuda,2010,0.0473614276012395,ATG
Antigua and Barbuda,2015,0.105113117339299,ATG
Antigua and Barbuda,2016,0,ATG
Argentina,2001,0,ARG
Argentina,2002,0,ARG
Argentina,2004,0,ARG
Argentina,2005,0,ARG
Argentina,2006,0,ARG
Argentina,2007,0,ARG
Argentina,2008,0.154198690193865,ARG
Argentina,2009,0.0352628660546879,ARG
Argentina,2010,0.0491892268011912,ARG
Argentina,2011,0.0900994994352807,ARG
Argentina,2012,0.0989399115874377,ARG
Argentina,2013,0.121666289422619,ARG
Argentina,2014,0.178983216258206,ARG
Argentina,2016,0.139379998801158,ARG
Argentina,2017,0.945295361461108,ARG
Argentina,2018,0.222865043439151,ARG
Argentina,2019,0.148146505212704,ARG
Armenia,2001,0,ARM
Armenia,2006,0.0703518896187026,ARM
Armenia,2007,0.00521627863503148,ARM
Armenia,2008,0.00440383848742132,ARM
Armenia,2009,0.00316912992312184,ARM
Armenia,2010,0.102188946784379,ARM
Armenia,2011,0.0046517748947932,ARM
Armenia,2012,0.0913875900482429,ARM
Armenia,2013,0.00469998761697603,ARM
Armenia,2014,0.0979527713981728,ARM
Armenia,2015,0.00529859347000238,ARM
Armenia,2016,0.00531244957328547,ARM
Armenia,2017,0.00522573607240693,ARM
Armenia,2018,0.00508785086501095,ARM
Armenia,2019,0.00500927477468164,ARM
Armenia,2020,0.005,ARM
Australia,2000,155.1484,AUS
Australia,2001,134.807138277118,AUS
Australia,2002,208.622222,AUS
Australia,2003,197.403797,AUS
Australia,2004,167.430377,AUS
Australia,2005,277.015248,AUS
Australia,2006,248.788774,AUS
Australia,2007,169.370035160399,AUS
Australia,2008,319.059649820939,AUS
Australia,2009,356.882352533118,AUS
Australia,2010,327.247269427892,AUS
Australia,2011,386.914375534304,AUS
Australia,2012,348.972769579369,AUS
